No.,Category,question,answer,BLEU,BERT
87,General application help,I was wondering if there are any resources out there that would help to learn and feel more comfortable coding in URScript rather then on the teach pendant polyscope?,The best way to learn URscript is probably to read the script manual and try different commands in a program. There are various UR support webpages/links for specific commands and how to use them so if you are looking to implement a specific command you might want to search for it.,0.0524,0.8491
88,General application help,"Everybody, whats the best way to debounce digital inputs by Script Commands or on the UR Main View? all and hava a nice Day Stefan?","Not usually a big ladder guy, but I¡¯ve been enjoying my own rendition of a T_on block. Something like this structure using timers: # For rising edge debounce when waiting for a HIGH input debounce_time = 0.1 timer.reset() timer.start() # If digital input goes low at any point, don't continue until it's been on for at least debounce_time while(timer < debounce time): if digital_input = LOW: timer.reset() sync() # or sleep depending on polling requirements You can set it up to debounce falling edge as well by changing it a little",0.0292,0.8073
89,General application help,"I think I have a common problem. I have an operator that is a ¡°button pusher,¡± that keeps screwing up the program by adding steps. I would like to lock this function out to myself and our Maintenance team however I¡¯ve noticed if you password the program then you also lock out the installation tab. Sadly for us, we need the installation tab to be unlocked and available for the operator to change a value on occasion. Do you have any solutions/ideas? Any advice would be much appreciated, Matt?","What do you use the Installation for on occasion? I only ask because there may be a command you are unaware of, if, for example, your operator is using it to change TCP or Payload",0.0223,0.8399
90,General application help,"I would like to advance the robot in one movement to a point, and through the information from an external sensor (analog input) stop the robot. So I would also like to take this current position after the stop. I would do this at three different points and I would like to create a plan with those three points. Can anyone help me on what functions to use?",This can certainly be done but is complicated. I would contact your distributor and see if you can hire them or a system integrator to assist with a task like this.,0.0281,0.8401
91,General application help,"I¡¯m using a UR e5 Cobot, and we want to use the Cobot to probe evenness of surfaces. To do so I lower the TCP to the surface until I sense contact with a defined force, and then read out the coordinates using the ¡°get_actual_tcp_pose()¡±-Command. In a first try I¡¯d like to check how reliable my findings are, thus I¡¯d like to repeat the measurement 10 times, and track the values. Within polyscope, I was able to store those measurements in an array which I initialized using the assignment var := [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]. However, I¡¯d afterwards like to safe those values into a file, that is located on the coBot hard-drive. Is there any chance polyscope is able to do this? I don¡¯t have experience in hooking the CoBot to an external computer?","If you create var as an installtion variable, it will be saved to disk in the default.variables file alongside your program in human readable format, and that file can then be copied off the robot via USB. That would be the easiest way to do it.",0.01,0.8249
92,General application help,"Can I call the ¡®edit post¡¯ function while running a program to teach a new position? for example, when i am in the program tab and not running a program, i can select a waypoint and click ¡®edit pose¡¯. this takes me to the move tab and i can drive the robot to a new pose and hit ¡®ok¡¯. i want my program to do guide or prompt the user to ¡®edit pose¡¯. would this be adding a script? is there a list of available scripts available to the use?",I don¡¯t believe that is possible to do while the program is running. You could potentially add in a freedrive function to be able to move the robot and have an input tell the robot when stop freedriving and then write the position to a variable position using get_actual_tcp_pose script.,0.0871,0.8546
93,General application help,"I am trying to figure out how to use the ¡°Approach¡± point generated in the pallet wizard to make a variable or relative waypoint. I am doing a multilayer pallet using an Ewellix lift kit and I have it set to raise up 500mm on the upper layers so that it can reach them. However, when it raises up it tries to place the boxes 500mm above where it needs to be. I have it set up for the generated approach and tool action points will use an IF when on layers 5-8 but I do not know how to set up basically an ¡°Approach - 500mm Z distance¡± waypoint to go to when it is at these layers. I would appreciate any help?","You should be able to use the referencePoint variable that the pallet wizard produces. You could run an if statement like this: image892¡¿417 12.2 KB image1050¡¿485 39 KB You don¡¯t need to run that if statement in a thread, you can have it in your program somewhere also",0.0374,0.8219
94,General application help,"There, under Polyscop ¡æ Installtion ¡æ General ¡æ IO Setup, I am able to rename general purpose (Boolean, Integer and Float) registers, I also noticed that the changes are saved in the .installation file. From an installation contribution I can access renamed general pupose registers through IOModel.getIOs(), but only renamed IOs. If I don¡¯t have renamed the ios I don¡¯t get them through IOMOdel.getIOs(). My intention was to rename the general purpose register I use in my URCap trough the UrCapInstallation to have proper IO naming. I have considered loading the .installation file and change the io names directly, but I think it¡¯s a bad approach. Is there another way to rename the IOs from the API?","I¡¯ve asked this question before, and the closest answer I got was ¡°use the RTDE¡± which seems like the go-to answer on these forums haha! But since I don¡¯t know how to do that, it didn¡¯t really help.",0.01,0.8299
95,General application help,"Is it possible that when the ur5e is plugged into power, the teach pendant automatically starts? currently we manually plug in the cobot and then have to press the teach pendant button to start the boot process. we don¡¯t use the teach pendant other than for diagnostics. i do have it in remote mode?",You could use a 100-220V (Whichever you plug the power cord into) on-delay relay and have the NC contact connect the 12V and ON terminals. As soon as you plug in the robot it will connect 12V to the ON port for the duration of the timer and then break the connection.,0.1253,0.8379
96,General application help,"Day Everyone, I have a question about programming the Cobot. I¡¯m trying to have the Cobot perform a variable number of circles (in toolspace, without fixed orientation). To do that I¡¯m using the moveP command (as it¡¯s appearently the only command that allows for circular motion). If that is important: I¡¯m only programming in polyscope on the teach pendant. To perform circles, I just use consecutive moveC commands. However, when the new circle is supposed to start (after one loop-roundtrip), the Cobot stops, complaining that the sweep radius is not big enough. Adding a short moveL sequence right after prevents this behaviour. However, the Cobot completely stops after each roundtrip. I read that the appruptly stopping is a problem of the moveP order in general. How can you prevent it? Ansgar?",The moveP circular move function allows a max movement of 180deg¡¦ You can therefore theoretically complete a a full circle in two sets of circular moves¡¦ In my experience using 3 sets tends to preform better as it can be hard to hit 180deg precisely when programming the robot using polyscope. And you might have to switch between the doing counter clockwise and clockwise circles to avoid reaching a joint limit.,0.0286,0.83
97,General application help,I need to store multiple positions/poses of the robot to access them later in the program. The number of positions depends on the user input - the query works perfectly. I thought I could just make a loop and fill each pose into an array but it does not work. I know how to store a pose in a single variable but in my application the user decides how many poses he needs to store. Can anyone shed some light here? and Stephan PS: oh and where can I change my username to anything different than prename.surname?,Two ways that I can think of are sub programs (which cannot be nested I just found out) or the Assignment node. The Assignment node is like an If/Then for process groups and the value can be established either by the operator or by a variable expression generated by the program.,0.0311,0.8329
98,General application help,I have been running a program for a week and today after making a change to the acceleration during a place of a box. The robot will not pull the payload from the installation file to begin the program and is not changing payloads at the ¡°Set¡± commands in the program. Has this ever happened to anyone before?,"The payload is set to the values set in default.installation when the robot is first turned on since at that time, the robot does not know which robot program and installation file you will be using. If your program sets the payload with the set commands, I am guessing you have something else changing it.",0.163,0.8578
99,General application help,"I think I¡¯m missing something pretty basic here, but I¡¯m pretty new to all this . . . I¡¯ve created a program on one machine (UR5e) which changes some values on LED displays through the modbus. I¡¯d like to copy that program to a couple other machines which use the same display setup but otherwise are different. If I try to load the .urp files, it wants to pull in all the installation info, which I don¡¯t want. The .script file appears to also have all the installation info. It won¡¯t load the .txt file. Seems like there¡¯s probably a good writeup of how all this works somewhere, but I¡¯ve scanned through the manual and done some searching, but haven¡¯t come across it yet?","The only workaround I¡¯ve come up with so far is to pull out the .script file, strip all the extra stuff, then pull it back in - might need to add a def and end statement to just make it a function call. Can¡¯t try this right away, as I have to get through some of our network security protocols to move stuff back & forth from my PC to the robot",0.0508,0.8479
100,General application help,"To all. First of all a lot for reading this post and being able to help. I woudl like to do the next: I get an error timeout in log window and robot stop forever in that line program If I press stop button and then play button the program goes well again. Is there any way to do this automatically? I mean, when I get this error, stop rogram and auto play automatically, is there any way? a lot?","Can you post a screen capture or code of specifically what it¡¯s stoppping on? This could be done externally using a combination of RTDE and the dashboard server, but I would think it would be a dangerous feature for the robot to be able to clear it¡¯s own faults and resume",0.042,0.8243
101,General application help,"Is there any way to find out the distance between two-waypoints? for example, i¡¯m doing glue application and using the code exactly how it¡¯s mentioned here: universal robots - modify robot trajectory by overlaying custom motion the program works good but i want to know the length of the sine wave. could any one of you know how to find it? if not distance, do you know how to calculate the speed of the sine wave? please if you have i¡¯m attaching some photos for reference. image718¡¿869 48.5 kb?",the general Script Function for calculating the distance between two poses is pose_dist( <¡¦> ). You can use it to sum up each distance between the separate poses you calculate.,0.019,0.8256
102,General application help,"I¡¯m running a CB3 with regular polyscope and I¡¯m trying to get a variable from a different installation file. I know you can use the ones in the current installation file, but is there a script command that allows me to pull from any file?","I¡¯m afraid that I don¡¯t think you can share variables between installation files. I would think you would need a custom URCap which saved variables to a file or something similar, in order to share values between installlation files",0.0739,0.862
103,General application help,", I am starting a project with an UR10e linked to a master PLC in profinet and physical I/O if needed. The robot should be fully controlled by the PLC in automatic production. I am used to work with state diagram (state (running, pause, stop cat1 etc¡¦)/ transition( start, pause etc¡¦)) on the slaves i pilot. My question is the following: Does an absolute state diagram exists on URe robot, so i could easily program my PLC and control the robot from any state ?",An absolute state diagram does not exist but there is a document that explains the robot states you would most likely care about (Robot Mode and Safety Modes). Here is a link : https://s3-eu-west-1.amazonaws.com/ur-support-site/20596/pn-iomessage.pdf To understand the safety mode and robot mode see the graphic below.,0.0588,0.8149
104,General application help,"I have the following requirement on a project (working on an UR10e): -My robot must work on something like 100 differents products. -For each products, 40 variables (geometrical coordinates) must be set and adjusted during machine tests. These 40 variables are called ¡°A recipe¡±. So if i resume i will have 100*40 variables to store and adjust. I can¡¯t just create global variables one by one. Does any tool or methods (topics) already exists on this subject for saving and loading recipes by products and finally only use 40 variables ? I have some ideas for doing this but if some great methods already exists, i could save some times. Thank¡¯s a lot?","What you can setup is a selector variable that chooses which recipe to run, let¡¯s call it recipe_number and that would be selected by the operator that runs the machine. Then I would suggest that you add a script at the beginning that¡¯s basically a big IF statement that sets the 40 variables to the required value based on what ¡°recipe_number¡± is.",0.0335,0.8336
105,General application help,I have a palletizing program that I am trying to optimize. It takes boxes does a Z touch for the force and then drops the boxes at the force. I would like to make it so that it can do a single Z height check on each layer and save that to place the rest of the boxes on that layer. I am fairly new to robotics and was just given this project so?,You can use the script command get_actual_tcp_pose() when the robot is at the z height you want (after force touch). The third item in the pose is the z height.,0.0235,0.8453
106,General application help,"Question regarding depalletizing. when I set my layers to depalletize it always tries to remove the layer first before unloading parts, if I deselect the top layer then it does not off load the final layer. This is a pick and place application where I am unloading parts from a fixture (basket) then moving this basket ¡°layer¡± out of the way to be stacked else where in the cell by the depalletizing process with layers. How do I get it to not pick up the first layer until after it unloads the parts but still pick up the last layer? Another question: Scenario: Cobot is depalletizing my parts, it goes to next position but there is no part present. Is there a way to say ¡°no part detected move to next location on the pattern¡±??? UR10E Polyscope 5.10?","Can¡¯t help with the first issue but the 2nd one is doable, at least with Robotiq grippers that I use. There is a Grip Check feature that you can use to detect if the gripper has something in it.",0.0105,0.823
107,General application help,"We have mounted our UR16e on a movable platform, so it is able to dock on at different workstations. How can I reference the robot to the workstation, when it is docked on? I tried to use the visual offset tag in combination with the Robotiq WristCam, but unfortunately, that is not precisely enough. Hope someone can help¡¦ Best wishes Markus?",You can make all of your moves relative to a custom Feature that is taught on some known corner of the workcell. You can teach new Features by going to Installation->Features and then selecting Plane (a Point feature could also work but planes tend to be a bit more robust).,0.0538,0.8284
108,General application help,"I¡¯m using a UR3e with a Robotiq wrist camera, and am saving the captured images to a USB attached to the robot. I¡¯d like to use RTDE (or any other remote access protocol) to retrieve the images once they are captured for export and processing in a different tool. Can a USB-located image be accessed remotely? If so, does anyone know how?",SFTP would be a reasonable approach to extracting files from the robot. But be careful to not make any changes on the robot as you can damage system files.,0.0318,0.8495
109,General application help,Ur10e with software 5.9. at an angle of 30 degrees. Normaly we use the pose trans function but the cobot is at an angele of 30 degrees. So the base plane is also at 30 degrees. Is it possible to get a function that picks ¡®¡®get_actual_tcp_pose()¡¯¡¯ from a plane our point?,I think there were some good examples here: How to get tcp pose in feature coordinates? URScript The script command get_actual_tcp_pose() defaults to base feature coordinates.,0.03,0.8475
110,General application help,"There, we want to integrate a digital device with a UR robot via Modbus. Our problem is, that the device is sending Modbus in Float or in integer 32bit. But the UR robot expects integer 16bit. Unfortunately we cannot set the device to send in integer 16bit. Maybe someone has experienced similar problems and found a solution for it? BR Clemens?",Both the UR modbus client and server drivers will only support 16bit integers and do not support floating point data types. The only solution is going to be to have some intermediate device that can behave as a protocol gateway.,0.0474,0.8526
111,General application help,"I am currently working on application with UR10e. The tool on the cobot should make a movement that spreads the pre-applied coating over the surface. The problem is that tool don¡¯t follow the straight line. I would use MoveL but emergency stops the robot due to overload. I decided to use force mode instead, but the result are unsatisfactory. Tool don¡¯t follow the straight line because of mechanical resistance of coating. This results in uneven surface. This is shown in the red figure below. The code: image_033653¡¿1194 841 KB The comm_pos_2 is a boolean assigned in other Thread. comm_pos_2 =norm(pos_sub(pos_actual,pos_2))<threshold image_044032¡¿3024 2.86 MB How to make the toolpath straight?","I assume that the coating that is being spread is quite thick in order to be causing the protective stops, in which case the first thing I would suggest trying would be to lowering the speed of the movel() used, as a lower speed will incur less force. Failing that, if the robot cannot perform a movel() without being protective stopped, it might be better to perform 2 cycles of the smoothing, with 1 as you have now with the force mode enabled, and then a second as a movel() to resmooth, as less force will be applied to the robot once the paste hs already been mostly smoothed out.",0.0866,0.8125
112,General application help,"Our product integrates UR5e and we want to reduce product size. But the robot cable is too long. I find the cable is directly coming out of robot arm base, which is different from what service and user manuals describe. image1032¡¿672 59.2 KB The serial number of the robot is 20205500106 and it doesn¡¯t have Base Flange Cable. In another way, is it technically possible to cut off the existing cable and reconnect the connector£¿?",Since September 2020 the eSeries Robots are shipped with the base connector as shown in the image you attached. It is not possible to shorten the existing cable.,0.0272,0.8611
113,General application help,"We currently ready to put our cobot onto the shop floor, the problem we are facing is that the operation will be measuring outer diameters of our bearings, we work with batches at the moment our setup is for a 42mm od and with a 12mm width as seen in video coding it measures a part on a gauge and codes it then puts its it in the corresponding code tray. What we trying to do is make it quicker to setup for different size parts when they get put on production. because we have parts that may have 2 codes needing 2 trays or parts that have 8 codes that need 8 trays. plus the output trays pallet pattern will be different depending on size of the parts?","Don¡¯t have enough info regarding the variables you will encounter with the different bearings so i¡¯m just kind of guessing¡¦ Is it possible to set up the program with the max number of codes you will need (including pick and place pallets)? That way, if a batch of parts only has 2 codes it can just ignore the unused codes/pallets.",0.0361,0.8395
114,Technical Questions,"I have an RS485-to-USB converter with the CH340 IC. I planned to connect the device to 1 of the 4 USB ports on the control box of my UR10 (CB3) and communicate with a gripper via RS485. However the port did not seem to be recognized by the control box. When using the command ¡°lsusb¡±, the device is recognized, but when using ¡°ls -l /dev/tty*¡±, no ttyUSB was listed. How can I communicate with the CH340 directly from the control box? A gripper that I have offers Modbus RTU via RS485, but the Tool I/O of the UR10 does not features RS485 on analog pins. in advance?","I have encountered similar case previously, looks like the CB doesn¡¯t have a driver to support your CH340 chip type, you can either manually import a driver file into the files system or change another 485-USB converter to try",0.0151,0.8329
115,Technical Questions,We have an older CB2(?) from 2014. It worked fine until we recycled the power. Then the touch screen stopped working without any error messages. However with a connected usb mouse we can operate the robot. Is any function to calibrate or troubleshoot the touch screen?,It¡¯s the BIOS battery that has died and reset the BIOS settings (where the touch screen output is set up). So either a new motherboard (2.1 upgrade) or replace battery and set up the BIOS again,0.0854,0.8434
116,Technical Questions,"I am facing a quite interesting problem with a UR10e cobot having polyscope 5.12 I have written a subprogram which is able to follow a specific trajectory:if i run this subprogram, everything runs smoothly. If i ask the robot to move to the final waypoint of the path, the robot reaches the correct final waypoint of the movement Once i add this subprogram to a main program and press on the run command, the robot does not reach the final waypoint and goes directly to the next movement. Do you have any hints about this behaviour?",Check that you have not done some mixup with the Features in the Move nodes and also that Waypoints under MoveP nodes have a blending radius of 0 if you want it to behave like a MoveL node. What you are describing looks like a subprogram with a MoveP node that moves the robot to the last position.,0.0964,0.84
117,Technical Questions,"I am wondering what is the math behind Pose_trans and Pose_inv functions ? I would like to make a little function in Labview to perform the following conversion: Point in Base = p[0.45311, 0.30546, 0.47648, 4.071, -0.539, -2.517] Feature plane ¡°display¡± = p[0.53916, 0.25017, 0.33852, 0.72307, -0.77053, -1.38234] After applying the following formula within a program: Point in Display: pose_trans(pose_inv(display), get_actual_tcp_pose()). which results in this: p[-0.05104, 0.0677, 0.14934, 1.727, -0.221, -2.762] Problem: I want to know the math (for dummies since I am not a mathematician) behind pose_inv and pose_trans functions to convert a point from Base to Feature plane locally in labVIEW. without the need to run a program on the robot to get this conversion?",universal-robots.com Universal Robots - Explanation on robot orientation Here¡¯s a link talking a little bit about what the robot is doing. I would try to leverage LabView to get you the elements of the math that you need.,0.0298,0.8
118,Technical Questions,"Some adjustments needed to be made on one of our set ups and the Cobot was in the way. We lifted it and slid it over to the right about 120 mm from its initial position. Needless to say, the robot won¡¯t reach the point we need it to be at anymore. It¡¯s not a big program, just 5 waypoints but it¡¯d be cool to learn how to make the robot reach that fixed point anytime we move the base flange. Or we¡¯ll find a way to move a 9,000 kg machine 120 mm to the right?..not!?",When you say ¡°won¡¯t reach¡± do you mean it¡¯s physically outside the reach of the robot arm? If so you don¡¯t really have an option other than to get a longer reach arm.,0.0125,0.8414
119,Technical Questions,"I¡¯m currently trying to make a system backup of my cobot. I can choose the storage location on the USB stick. Start the backup and the cobot restarts. After restarting, the following error ¡°Failure mounting drive¡± appears. I have already tested various USB sticks, including one from UR. Everyone gets this error message. What could be the cause? What can I do to create this backup?",I had the same issue. I resolved it by formatting a new usb stick then trying the system backup again and selecting the root directory of the usb for the backup location.,0.0581,0.871
120,Technical Questions,"I am currently using the UR30 model and testing high-torque screw tightening. I applied 150Nm and 220Nm torque in some cases, and there were no errors or position loss. I¡¯m wondering how long I can apply this torque in screw tightening mode. Is the mechanical brake being applied, and if so, how strong is it?","If it¡¯s working as it should, and you¡¯re using the screw feature, then you should be good to go without worrying about extra wear on the robot. It is not using the mechanical brake for this, but simply stopping the motor by energizing it",0.0877,0.8563
121,Technical Questions,"I am currently working on a university project that involves integrating a UR3 arm. However, the unit I have access to is set up as a DC-DC version, and I need to convert it to an AC-DC configuration. Unfortunately, I have not been able to find any information on the specific power supply units used in the original AC-DC version. Any information will be appreciated P.S. i read all the service manuals i could find but non of them specify the PSUs, only that it is 48v and 12v?",I think this Article may be what you are looking for in this case. I have not used the DC-DC version but this is what I found,0.0186,0.8405
122,Technical Questions,"Is it possible to call stopj(a) in threads to stop the motion running in the main program? i am getting another thread is already controlling the robot error at stopj(80) thread controlcommands(): while true: stop = get_digital_out(1) if stop: textmsg(""stopping control commands"") stopj(80) set_digital_out(1, false) end end end?","You can¡¯t control the robot movements from within a thread, so I expect that you will need to set a variable or an output which is monitored from the main program which would then trigger the stop. In the simple example you¡¯ve shown, your code would basically just be in the main program or subprogram instead of within a thread.",0.0873,0.8177
123,Technical Questions,"I am currently on a project where I use UR 10e¡¯s to lift a payload, around 9 kg¡¯s, to a target position, hold it for 30 seconds max and move back to home position. The off time between these movements will be at least 3 minutes, but the machine should be able to run 24 hours a day, 365 days per year. What is the most ¡°gentle¡± way for the joints/robot to operate here? Should I power off and go to idle and brake, after returning to home position or let the robot running? in advance!?","I would leave the robot on, if we¡¯re just talking 3 minutes. But if it¡¯s possible, maybe you could put down the payload to let the joints cool down a bit.",0.0171,0.8463
125,Technical Questions,"Can You help me with this. how many differents communication protocols can use the cobot at the same time? i want to connect the cobot controller to jetson xavier and plc too. is it possible to use modbus and profinet at the same time?. for example, can i use rtde, profinet, modbus at the same time? for all?","It¡¯s fine to use RTDE, Profinet, and Modbus at the same time. Note that all input registers except upper half of GP registers are claimed by Profinet.",0.0508,0.863
126,Technical Questions,"I have encountered a problem. If I use the servoj script command and then speedj script command I got polyscope error: ¡°Another thread is controlling the robot¡±. What is the problem? why can¡¯t I switch from servoj to speedj? in Advance,?","i never used a switch to speedj from servoj, but a switch to movel,movep and movej. I think the servoj command is not yet completed as you¡¯re switching.",0.0758,0.8672
127,Technical Questions,"There! We are working with UR 10e robots. Recently, we have encountered a joint failure which caused us to replace a joint. However, when it enters this fault state, power is cut to the robot, so moving it into packing position becomes an issue. Specifically, if there is a robot in field, how can we get them to package properly back to us for repair? Is there a way to trigger a brake release via script or simple way to do on field without removing the joint caps? We are aware of forced backdrive, but a less force involved a safer approach would be optimal?","I think if you hold the freedrive button before it¡¯s fully booted you enter backdrive mode, which is different than just forcing the robot to move while completely powered off. At least I think so¡¦it¡¯s been a while since I¡¯ve had to do it at all, and never to get it back into the box",0.0296,0.8355
128,Technical Questions,"I have a palletizing routine (boxes) the problem is that if i use the before start to assign a routine if there¢¥s a collision, the palletizing starts again on the first position. I want the UR to keep the last position. i dont have that issue if the before start is off. My guess is that the before start resets the loop of the palletizing. Does someone experienced this?","alletizing routine (boxes) the problem is that if i use the before start to assign a routine if there¢¥s a collision, the palletizing starts again on the first position. I want the UR to keep the last position.",0.4305,0.9406
129,Technical Questions,"everyone, I need to obtain the parameters of each joint of the robot. That is, the current angle and speed, because I want to send this data to an external program. How can I obtain the data from the robot in real time and send it? Is there a script and in what format is this information sent?","pn-iomessage.pdf (81.2 KB) we had some success using profinet to communicate back and forth - we only used the digital I/O portion of the data block, but I see a section where the joint information is available¡¦",0.0761,0.8403
130,Technical Questions,I tried cutting and pasting some older unused programs into a folder today (New UR user). I found that once I did that it was giving me an tool error with me hitting cancel. However the files moved into the folder and I started getting an error. Suppressing the error in my program seemed to have solved the problem until I restarted the robot. Once it restarted I found that my programs would no longer work. I am now getting the error shown in this picture. Does anyone know how I can fix this? My production line is down now. Cobot Problem 21225¡¿426 124 KB Cobot problem1920¡¿1557 370 KB?,"I can Tell you that there is deffinatly a bug within the URCap it self. I would suggest you contact TripleA Robotics, and ask for an updated version of your URCap, or guidance about how to work around the bug.",0.0169,0.8231
131,Technical Questions,How Long is the log storage period? is the log storage period unit capacity or time?,I think you can create a counter variable and use the command to clear the log after a certain period of time. You can also store the log based on the available memory volume.,0.0944,0.8627
132,Technical Questions,"I¡¯m trying to make a list of array values for points. I¡¯m following the sample code given in the script manual for polyscope 5.19 but I keep getting an error when trying to run the script. Why would make_list not work. My exact code is as follows. test = make_list(25, [0,0,0,0,0,0])?",Currently list of lists is not supported as this is how matrices are implemented in URScript. Workaround for this particular case (list of 6 numbers) could be to create list of poses.,0.0496,0.8306
133,Technical Questions,"I¡¯m experiencing an unusual noise at the end of each arc when using the movec command in my URScript program. The robot decelerates abruptly at the endpoint of the circular move, which produces a noticeable mechanical snap. I¡¯ve already reduced the velocity and acceleration and even tried blending, but the issue persists?movel moves are smooth. Has anyone encountered this and found a solution for smoother transitions with movec? # Example movec command causing abrupt stop noise movec(p[0.092, -0.092, draw_z, rx, ry, rz], p[0.13, 0, draw_z, rx, ry, rz], a, v) Any insights or workarounds would be greatly appreciated!?","MoveC does not play well with blends in my experience. Try adding a stopl or stopj command after the circular move to set the deceleration manually, which will avoid the snapping noise you are hearing from the brakes",0.0291,0.8307
134,Technical Questions,"I would like to make a move relative to a waypoint. The offsets will be setup as variables. The idea is to call a moveL command referencing the waypoint then adding the offset to that waypoint. Waypoint_1 is set and calibrated Variable: Offset_1 = [10,50,0,0,0,0] MoveL Relative to Waypoint_1 with Offset_1?","I don¡¯t believe there is a way of doing this in polyscope commands, you would have to use URScript. Use the script file from you program which contains Waypoint_1, to find it¡¯s coordinates, then write something like: offset_waypoint = p[waypoint_1[0]+offset_1[0], waypoint_1[1]+offset[1], ...., waypoint_1[5]+offset_1[5]] Then you can call a moveL on offset_waypoint There are a couple of ways of finding the script file of a program.if you are using URSim, then simply open the .script file from the robot¡¯s programs folder in a text editor.",0.0634,0.8518
135,Technical Questions,I am trying to control ferrobotics acf-xs over tcp/ip socket communication using ur script in ur5e-series robot with polyscope software version 5.8. The polyscope program always says the connection timeout as shown in attached picture warning1810¡¿111 56.5 KB I made another sample program with python to communicated with the device in certain ip and port of the device to a pc and this works though. I was wondering what is the problem when the same operation is being performed through ur5e robot. I tried to run the script program in local mode. Does ur5e restrict all type of communication in local mode? I have enabled remote control mode in system settings. The urscript code and python code can be viewed in the attachment. sample program.pdf (197.4 KB) in advance for help?,"to answer your question about communications in local mode- On e-Series, you need to explicitly be in ¡°remote control¡± mode to enable robot control over external interfaces. By default the robot is on ¡°local control¡±, which enable programming and motion by the Teach Pendant",0.0123,0.8335
136,Technical Questions,"There, is it possible to read/write general purpose registers through TCP/IP communication not using RTDE? I need to write and read data from registers, and I can¡¯t find the way to do that using the Real-time interface through port 30003. Also, I am having many difficulties to do that via RTDE because I am not using Python or C++, I am using C# instead and it is a bit complicated to make it work. Please I would highly appreciate any hint or help you can provide?","If you¡¯ve got budget for extra libraries, UnderAutomation has a C# library for communicating with UR bots, including RTDE. It has a free trial option, so you can test it out to see if it serves your needs",0.02,0.8407
137,Technical Questions,"URCommunity, I am trying to create a small app in which I get feedback from digital inputs and outputs. I have not been able to connect my computer to the RTDE port (30004) and get a feedback of them. Has anyone ever managed to do it using C# language? Any help is much appreciated,?",I myself have just started using RTDE. I was able to connect to a UR5 CB3 using the record.py example script and got I/O information using the actual_digital_output_bits recipe.,0.0695,0.851
138,Technical Questions,"I¡¯m doning that control UR3 with C#, socket communication. I have success the control UR3 using the URscript functions like this: string strQhome = ""movej(p[0.20, -0.20, 0.50, 0.0, 2.20, -2.20], a=1.4, v=1.05, t=0, r=0)"" + ""\n""; byte[] sendURbuffer = Encoding.UTF8.GetBytes(strQhome); socket_UR.Send(sendURbuffer); However, I wanna feedback(or listen) from my UR3 state data(like actual_TCP_pose, is_steady¡¦ etc.) using the RTDE interface. I already checked the UR support site, but I don¡¯t understand how to work the RTDE interface using C#. Is any example for C#? or Send to the some protocol to UR3 using socket communication? me?",It is not easy to implement an RTDE client using C#. I have done it successfully for my company¡¯s product but won¡¯t be able to share any code.,0.0162,0.825
139,Technical Questions,Is it handled like an emergency stop from the robot if one joint is in error mode? error codes: c285a0:6 (joint_1_a); c309a0:6 (joint_1_b); c281a3:6 (safety_a); c281a3:6 (safety_b) error ur10e2144¡¿571 220 kb?,"As far as I remember, it¡¯s a state ¡°higher¡± than emergency stop actually. The robot also shuts off all 24V signals along with emergency braking the robot arm.",0.0924,0.7919
140,Technical Questions,"I am using a UR16e robot. From the teach pendant, I can extract both URScript files and .urp program files. I want to modify the extracted URScript file and then load it onto the robot as a .urp program file, as the robot can only execute .urp files. How can I achieve this?","There might be some converter out there that I¡¯m not aware of, but you CAN execute the URScript directly, it just takes a little legwork sometimes. If you start a blank program on the pendent and insert a Script node, you can change the input type to ¡°File¡± and then just load the Script file you¡¯ve edited and saved.",0.0705,0.8537
141,Technical Questions,"I am trying to install the RTDE python package to communicate with UR16e. But i am getting the following error every time. I have seen some of the posts relevant to the RTDE install error and suggested to install the cmake. But after installing the Cmake , i am still having the same problem. How can i solve this issue. install_RTDE1852¡¿892 128 KB?",Here is a guide on setting up the programs for using RTDE: toolchanger.eu HowToRTDE-v1.pdf 2028.63 KB You need to install Boost before you can install the RTDE python package /Henning,0.0757,0.8466
142,Technical Questions,"Is there any way to run the ursim on the new m1 macbooks with arm chips? can¡¯t run virtualbox as it is an intel virtualisation hypervisor and therefore not compatible with the arm architecture. a the native install of ursim is only for linux so i presume that won¡¯t work. is this currently supported in some other way? if not, i¡¯ll move this to ¡°product wishlist¡± category as something to request?","is there any progress with that? I have searched the web, tried docker images & vms, but all fail due to the fact that the URControl binary is incompatible with arm64",0.0299,0.8505
143,Technical Questions,"I have connected the UR10 to our PLC via Ethernet (Allen Bradley). We are able to read all values from the UR10 but are having trouble triggering the output. We are relatively new to cobots and this type of PLC interfacing, any suggestions/direction would be appreciated!?","If you want to trigger the digital outputs of the UR from the PLC, you wil also have to set the mask bit to override the robot controller¡¯s control",0.0586,0.8515
146,Technical Questions,Is there a way to get/catch a digital input signal from a ure3 in a python script? i have a socket tcp (ethernet) connection. on my cobot there are two buttons connected (start / stop) both give a digital input on the teach pendant. get_digital_input doesn¡¯t excists. ? i read something about a xml file¡¦?,"get_standard_digital_in(n) Get standard digital input signal level See also get_configurable_digital_in and get_tool_digital_in. Parameters n: The number (id) of the input, integer: [0:7] Return Value boolean, The signal level.",0.0392,0.824
